"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Barbell Shoulder Press (OHP)",2012-06-06,201,20,,10,,"20 kg || 10 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-06-06,202,45,,5,,"45 kg || 5 reps","71"
"Standing Barbell Shoulder Press (OHP)",2012-06-06,203,20,,10,,"20 kg || 10 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-06-08,201,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-06-08,202,45,,4,,"45 kg || 4 reps","65"
"Standing Barbell Shoulder Press (OHP)",2012-06-08,203,45,,5,,"45 kg || 5 reps","71"
"Standing Barbell Shoulder Press (OHP)",2012-06-11,601,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-11,602,35,,3,,"35 kg || 3 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-06-12,701,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-06-12,702,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-06-12,703,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-12,704,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-12,705,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-06-18,301,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-06-18,302,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-18,303,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-18,304,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-18,305,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-18,306,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-18,307,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-06-20,201,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-06-20,202,35,,5,,"35 kg || 5 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-06-20,203,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-06-23,301,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-06-23,302,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-06-23,303,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-06-23,304,40,,2,,"40 kg || 2 reps","44"
"Standing Barbell Shoulder Press (OHP)",2012-06-26,201,10,,10,,"10 kg || 10 reps","50"
"Standing Barbell Shoulder Press (OHP)",2012-06-26,202,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-06-26,203,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-06-26,204,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-06-26,205,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-06-26,206,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-07-13,101,22,,5,,"22 kg || 5 reps","50"
"Standing Barbell Shoulder Press (OHP)",2012-07-13,102,22,,5,,"22 kg || 5 reps","50"
"Standing Barbell Shoulder Press (OHP)",2012-07-13,103,32,,5,,"32 kg || 5 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-07-13,104,37,,5,,"37 kg || 5 reps","63"
"Standing Barbell Shoulder Press (OHP)",2012-07-19,1,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-07-19,2,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-07-19,3,42.5,,5,,"42.5 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-07-19,4,42.5,,5,,"42.5 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-07-19,5,42.5,,5,,"42.5 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-07-19,6,42.5,,5,,"42.5 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-07-19,7,42.5,,4,,"42.5 kg || 4 reps","62"
"Standing Barbell Shoulder Press (OHP)",2012-07-23,501,15,,10,,"15 kg || 10 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-07-23,502,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-07-23,503,40,,3,,"40 kg || 3 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-07-23,504,45,,1,,"45 kg || 1 reps","39"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,301,10,,5,,"10 kg || 5 reps","31"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,302,10,,5,,"10 kg || 5 reps","31"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,303,20,,5,,"20 kg || 5 reps","36"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,304,20,,5,,"20 kg || 5 reps","36"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,305,40,,5,,"40 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,306,45,,5,,"45 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,307,45,,3,,"45 kg || 3 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,308,35,,5,,"35 kg || 5 reps","45"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,309,35,,5,,"35 kg || 5 reps","45"
"Standing Barbell Shoulder Press (OHP)",2012-07-27,310,35,,4,,"35 kg || 4 reps","41"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,101,10,,5,,"10 kg || 5 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,102,10,,5,,"10 kg || 5 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,103,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,104,45,,5,,"45 kg || 5 reps","71"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,105,45,,5,,"45 kg || 5 reps","71"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,106,45,,3,,"45 kg || 3 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,107,25,,10,,"25 kg || 10 reps","62"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,108,25,,10,,"25 kg || 10 reps","62"
"Standing Barbell Shoulder Press (OHP)",2012-08-01,109,25,,10,,"25 kg || 10 reps","62"
"Standing Barbell Shoulder Press (OHP)",2012-08-02,501,20,,10,,"20 kg || 10 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-08-02,502,20,,10,,"20 kg || 10 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-08-02,503,20,,10,,"20 kg || 10 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,1,10,,5,,"10 kg || 5 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,2,10,,5,,"10 kg || 5 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,3,10,,5,,"10 kg || 5 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,4,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,5,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,6,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,7,45,,5,,"45 kg || 5 reps","71"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,8,45,,5,,"45 kg || 5 reps","71"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,9,45,,5,,"45 kg || 5 reps","71"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,10,20,,10,,"20 kg || 10 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,11,20,,10,,"20 kg || 10 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-08-07,12,20,,10,,"20 kg || 10 reps","58"
"Standing Barbell Shoulder Press (OHP)",2012-08-11,901,10,,5,,"10 kg || 5 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-11,902,10,,5,,"10 kg || 5 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-11,903,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-08-11,904,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-08-11,905,42.5,,5,,"42.5 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-08-11,906,42.5,,5,,"42.5 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-08-11,907,42.5,,5,,"42.5 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-08-15,101,22,,5,,"22 kg || 5 reps","50"
"Standing Barbell Shoulder Press (OHP)",2012-08-15,102,22,,5,,"22 kg || 5 reps","50"
"Standing Barbell Shoulder Press (OHP)",2012-08-15,103,42,,5,,"42 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-08-15,104,42,,5,,"42 kg || 5 reps","68"
"Standing Barbell Shoulder Press (OHP)",2012-08-15,105,42,,4,,"42 kg || 4 reps","62"
"Standing Barbell Shoulder Press (OHP)",2012-08-19,201,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-19,202,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-19,203,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-19,204,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-19,205,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-19,206,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-19,207,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-19,208,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-22,101,20,,15,,"20 kg || 15 reps","61"
"Standing Barbell Shoulder Press (OHP)",2012-08-22,102,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-22,103,50,,1,,"50 kg || 1 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-26,401,10,,5,,"10 kg || 5 reps","42"
"Standing Barbell Shoulder Press (OHP)",2012-08-26,402,20,,5,,"20 kg || 5 reps","49"
"Standing Barbell Shoulder Press (OHP)",2012-08-26,403,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-26,404,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-26,405,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-26,406,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-26,407,40,,5,,"40 kg || 5 reps","66"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,601,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,602,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,603,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,604,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,605,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,606,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,607,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,608,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,609,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,610,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,611,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,612,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,613,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,614,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,615,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,616,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,617,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,618,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,619,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,620,25,,5,,"25 kg || 5 reps","53"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,621,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,622,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,623,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,624,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,625,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,626,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,627,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,628,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,629,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,630,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,631,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,632,30,,5,,"30 kg || 5 reps","57"
"Standing Barbell Shoulder Press (OHP)",2012-08-31,633,30,,5,,"30 kg || 5 reps","57"
